フレーズ,読み（カタカナ）,意味（日本語）,語源等解説（日本語）,関連語と意味,シチュエーション（日本語）,難易度
Hello!,ハロー,こんにちは,英語の挨拶の定番,Hi:やあ,挨拶,1
How are you?,ハウ アー ユー,元気ですか,相手の体調や気分を尋ねる表現,What's up?:調子はどう？,挨拶,1
I'm fine, thank you.,アイム ファイン サンキュー,元気です、ありがとう,返答の定番,Good:良い,挨拶,1
Nice to meet you.,ナイス トゥ ミート ユー,はじめまして,初対面の挨拶,Glad to meet you:会えて嬉しい,自己紹介,1
My name is Ken.,マイ ネーム イズ ケン,私の名前はケンです,自己紹介の基本表現,I'm Ken:私はケンです,自己紹介,1
Where are you from?,ウェア アー ユー フロム,どちらの出身ですか,出身地を尋ねる表現,Where do you live?:どこに住んでいますか,自己紹介,1
I'm from Tokyo.,アイム フロム トウキョウ,私は東京出身です,出身地を答える表現,I'm from Osaka:大阪出身です,自己紹介,1
How old are you?,ハウ オールド アー ユー,何歳ですか,年齢を尋ねる表現,What's your age?:年齢は？,自己紹介,1
I'm twelve years old.,アイム トゥエルヴ イヤーズ オールド,私は12歳です,年齢を答える表現,I'm thirteen:13歳です,自己紹介,1
What do you do?,ワット ドゥ ユー ドゥ,お仕事は何ですか,職業を尋ねる表現,What's your job?:仕事は？,自己紹介,2
I'm a student.,アイム ア スチューデント,私は学生です,職業を答える表現,I'm a teacher:先生です,自己紹介,1
Do you have any hobbies?,ドゥ ユー ハブ エニー ホビーズ,趣味はありますか,趣味を尋ねる表現,What do you like?:何が好き？,自己紹介,2
I like reading.,アイ ライク リーディング,読書が好きです,趣味を答える表現,I like music:音楽が好き,自己紹介,1
What time is it?,ワット タイム イズ イット,今何時ですか,時間を尋ねる表現,Do you know the time?:時間わかる？,日常会話,1
It's three o'clock.,イッツ スリー オクロック,3時です,時間を答える表現,It's noon:正午です,日常会話,1
Can you help me?,キャン ユー ヘルプ ミー,手伝ってくれますか,助けを求める表現,Could you help me?:手伝ってくれる？,道案内,2
Where is the station?,ウェア イズ ザ ステーション,駅はどこですか,場所を尋ねる表現,How do I get to the station?:駅への行き方,道案内,2
Go straight.,ゴー ストレイト,まっすぐ行ってください,道案内の基本表現,Turn right:右に曲がる,道案内,1
Turn left.,ターン レフト,左に曲がってください,道案内の基本表現,Go straight:まっすぐ行く,道案内,1
Thank you very much.,サンキュー ベリー マッチ,本当にありがとう,感謝の強調表現,Thanks a lot:とてもありがとう,挨拶,1
You're welcome.,ユーアー ウェルカム,どういたしまして,感謝への返答,No problem:問題ないよ,挨拶,1
Excuse me.,エクスキューズ ミー,すみません,呼びかけや謝罪,Sorry:ごめんなさい,日常会話,1
I'm sorry.,アイム ソーリー,ごめんなさい,謝罪の基本表現,Excuse me:すみません,日常会話,1
Can I have the menu?,キャン アイ ハブ ザ メニュー,メニューをいただけますか,レストランでの注文,May I see the menu?:メニュー見せて,レストラン,2
I'd like this.,アイド ライク ディス,これをください,注文時の表現,I'll have this:これにします,レストラン,1
How much is this?,ハウ マッチ イズ ディス,これはいくらですか,値段を尋ねる表現,What's the price?:値段は？,買い物,1
Do you take credit cards?,ドゥ ユー テイク クレジット カーズ,クレジットカードは使えますか,支払い方法を尋ねる表現,Can I pay by card?:カードで払えますか,買い物,2
I'd like to buy this.,アイド ライク トゥ バイ ディス,これを買いたいです,購入意思を伝える表現,I'll take this:これにします,買い物,1
Can I try this on?,キャン アイ トライ ディス オン,試着できますか,服の試着を尋ねる表現,May I try this?:試してもいい？,買い物,2
Is there a restroom?,イズ ゼア ア レストルーム,トイレはありますか,施設の有無を尋ねる表現,Where is the restroom?:トイレはどこ？,日常会話,1
What would you recommend?,ワット ウッド ユー レコメンド,おすすめは何ですか,おすすめを尋ねる表現,Do you have any recommendations?:おすすめありますか,レストラン,2
I'd like some water.,アイド ライク サム ウォーター,お水をください,飲み物の注文,Can I have some water?:水もらえますか,レストラン,1
Can I get a receipt?,キャン アイ ゲット ア レシート,レシートをもらえますか,レシートの要求,May I have a receipt?:レシートください,買い物,2
Could you speak more slowly?,クッド ユー スピーク モア スローリー,もっとゆっくり話してもらえますか,会話の速度調整,Please speak slowly:ゆっくり話して,日常会話,2
I don't understand.,アイ ドント アンダースタンド,わかりません,理解できない時の表現,I don't get it:理解できない,日常会話,1
Could you repeat that?,クッド ユー リピート ザット,もう一度言ってもらえますか,繰り返しをお願いする表現,Please say it again:もう一度言って,日常会話,2
What's your phone number?,ワッツ ユア フォン ナンバー,電話番号は何ですか,連絡先を尋ねる表現,How can I contact you?:連絡方法は？,電話,2
I'll call you later.,アイル コール ユー レイター,後で電話します,電話の約束,I'll contact you:連絡します,電話,1
See you tomorrow.,シー ユー トゥモロー,また明日,別れの挨拶,See you later:またね,挨拶,1
Good night.,グッド ナイト,おやすみなさい,夜の挨拶,Good evening:こんばんは,挨拶,1
Take care.,テイク ケア,気をつけて,別れ際の挨拶,Be careful:注意して,挨拶,1
What happened?,ワット ハプンド,何があったのですか,状況を尋ねる表現,What's wrong?:どうしたの？,日常会話,2
Are you okay?,アー ユー オーケー,大丈夫ですか,相手の安否を尋ねる表現,Is everything alright?:問題ない？,日常会話,1
I'm hungry.,アイム ハングリー,お腹がすきました,空腹を伝える表現,I'm thirsty:喉が渇いた,日常会話,1
Let's go!,レッツ ゴー,行きましょう,誘いの表現,Shall we go?:行きませんか,日常会話,1
It's fun!,イッツ ファン,楽しいです,楽しさを伝える表現,It's interesting:面白い,日常会話,1
I like sports.,アイ ライク スポーツ,スポーツが好きです,好みを伝える表現,I like music:音楽が好き,日常会話,1
I have a question.,アイ ハブ ア クエスチョン,質問があります,質問を伝える表現,Can I ask you?:質問していい？,日常会話,2
That's a good idea.,ザッツ ア グッド アイディア,それはいい考えです,提案に賛成する表現,Great idea:素晴らしい考え,日常会話,1
I'm looking forward to it.,アイム ルッキング フォワード トゥ イット,楽しみにしています,期待を伝える表現,Can't wait:待ちきれない,日常会話,2
Can you show me the way?,キャン ユー ショウ ミー ザ ウェイ,道を教えてくれますか,道案内をお願いする表現,Could you guide me?:案内してくれますか,道案内,2
Is this seat taken?,イズ ディス シート テイケン,この席は空いていますか,座席の有無を尋ねる表現,May I sit here?:ここに座ってもいいですか,日常会話,2
Could you take a picture?,クッド ユー テイク ア ピクチャー,写真を撮ってもらえますか,写真撮影をお願いする表現,Can you take my photo?:写真を撮ってくれる？,旅行,2
I’m lost.,アイム ロスト,道に迷いました,迷子になった時の表現,I'm confused:困っています,道案内,2
I’d like to make a reservation.,アイド ライク トゥ メイク ア レザベーション,予約をしたいです,予約の意思を伝える表現,Can I book a table?:席を予約できますか,レストラン,2
Do you have any vegetarian dishes?,ドゥ ユー ハブ エニー ベジタリアン ディッシーズ,ベジタリアン料理はありますか,食事制限を伝える表現,Any vegan options?:ヴィーガン料理は？,レストラン,3
I have an allergy.,アイ ハブ アン アレルジー,アレルギーがあります,健康状態を伝える表現,I'm allergic to nuts:ナッツアレルギーです,病院,2
I need a doctor.,アイ ニード ア ドクター,医者が必要です,体調不良時の表現,Can you call a doctor?:医者を呼んでくれますか,病院,2
